Crop,Year,Production to supply ratio (%)
Oil seed,1990,98.5
Sugar,1990,57.4
Fresh vegetables,1990,75.6
Potatoes,1990,89.9
Fresh fruit,1990,18.6
Oil seed,1991,100.8
Sugar,1991,54.8
Fresh vegetables,1991,76.5
Potatoes,1991,90
Fresh fruit,1991,19.4
Oil seed,1992,93
Sugar,1992,59.8
Fresh vegetables,1992,77.7
Potatoes,1992,91.4
Fresh fruit,1992,18.9
Oil seed,1993,85.5
Sugar,1993,66.1
Fresh vegetables,1993,78
Potatoes,1993,89.6
Fresh fruit,1993,17.7
Oil seed,1994,81
Sugar,1994,63.3
Fresh vegetables,1994,73
Potatoes,1994,88.7
Fresh fruit,1994,15.6
Oil seed,1995,70.7
Sugar,1995,63.6
Fresh vegetables,1995,67
Potatoes,1995,87.7
Fresh fruit,1995,14.3
Oil seed,1996,96.5
Sugar,1996,63.1
Fresh vegetables,1996,68
Potatoes,1996,89.9
Fresh fruit,1996,12.9
Oil seed,1997,94.4
Sugar,1997,70.2
Fresh vegetables,1997,70
Potatoes,1997,90.9
Fresh fruit,1997,10.4
Oil seed,1998,96.9
Sugar,1998,71.9
Fresh vegetables,1998,71
Potatoes,1998,88.2
Fresh fruit,1998,9.3
Oil seed,1999,97.3
Sugar,1999,70.9
Fresh vegetables,1999,72
Potatoes,1999,89.8
Fresh fruit,1999,11.7
Oil seed,2000,82.9
Sugar,2000,70.8
Fresh vegetables,2000,71
Potatoes,2000,86.8
Fresh fruit,2000,10.2
Oil seed,2001,66.3
Sugar,2001,66.7
Fresh vegetables,2001,67
Potatoes,2001,80.7
Fresh fruit,2001,10.6
Oil seed,2002,92.5
Sugar,2002,65.1
Fresh vegetables,2002,64
Potatoes,2002,83.5
Fresh fruit,2002,9.1
Oil seed,2003,108.3
Sugar,2003,76
Fresh vegetables,2003,63
Potatoes,2003,82.4
Fresh fruit,2003,8.5
Oil seed,2004,94.5
Sugar,2004,74.2
Fresh vegetables,2004,61.5
Potatoes,2004,81.4
Fresh fruit,2004,8.7
Oil seed,2005,107.1
Sugar,2005,71.4
Fresh vegetables,2005,59.6
Potatoes,2005,85.3
Fresh fruit,2005,10.2
Oil seed,2006,103.4
Sugar,2006,71.1
Fresh vegetables,2006,59.2
Potatoes,2006,87.7
Fresh fruit,2006,10.4
Oil seed,2007,110.5
Sugar,2007,58.3
Fresh vegetables,2007,57.3
Potatoes,2007,82.3
Fresh fruit,2007,10.5
Oil seed,2008,102.3
Sugar,2008,59.7
Fresh vegetables,2008,58
Potatoes,2008,82
Fresh fruit,2008,11
Oil seed,2009,83.8
Sugar,2009,61.5
Fresh vegetables,2009,58.9
Potatoes,2009,84.1
Fresh fruit,2009,11.7
Oil seed,2010,104.5
Sugar,2010,54.8
Fresh vegetables,2010,59.4
Potatoes,2010,85
Fresh fruit,2010,14.3
Oil seed,2011,127.5
Sugar,2011,58.8
Fresh vegetables,2011,56.6
Potatoes,2011,77.5
Fresh fruit,2011,14.1
Oil seed,2012,168.4
Sugar,2012,58.9
Fresh vegetables,2012,54.6
Potatoes,2012,68.4
Fresh fruit,2012,12.7
Oil seed,2013,113.5
Sugar,2013,60.1
Fresh vegetables,2013,53.9
Potatoes,2013,66.4
Fresh fruit,2013,12.7
Oil seed,2014,113
Sugar,2014,63
Fresh vegetables,2014,55.8
Potatoes,2014,72.2
Fresh fruit,2014,17.7
Oil seed,2015,109.5
Sugar,2015,55.1
Fresh vegetables,2015,55.3
Potatoes,2015,70.7
Fresh fruit,2015,18.3
Oil seed,2016,115.3
Sugar,2016,55
Fresh vegetables,2016,53.9
Potatoes,2016,71.3
Fresh fruit,2016,17.1
Oil seed,2017,91.5
Sugar,2017,63.5
Fresh vegetables,2017,56.8
Potatoes,2017,72.9
Fresh fruit,2017,16.4
Oil seed,2018,96.6
Sugar,2018,64.8
Fresh vegetables,2018,53.8
Potatoes,2018,67.3
Fresh fruit,2018,17.3
Oil seed,2019,86.2
Sugar,2019,60.8
Fresh vegetables,2019,52.3
Potatoes,2019,67.1
Fresh fruit,2019,16.4
Oil seed,2020,78.7
Sugar,2020,66.8
Fresh vegetables,2020,54.4
Potatoes,2020,71
Fresh fruit,2020,16.3
