Fruit,Year,Production to supply ratio (%)
Apples,1990,43.14132455230478
Pears,1990,26.28762349622941
Plums,1990,20.96773860056128
Strawberries,1990,72.91687320786208
Raspberries,1990,100.45877227312178
Apples,1991,45.051003605973634
Pears,1991,29.29467146282283
Plums,1991,46.30677913800771
Strawberries,1991,69.45401921022516
Raspberries,1991,99.44129506369353
Apples,1992,46.5804843677789
Pears,1992,22.60212466998176
Plums,1992,38.92099700404937
Strawberries,1992,65.67865669919406
Raspberries,1992,106.33251868598262
Apples,1993,44.5595261309599
Pears,1993,23.999673072913147
Plums,1993,29.407882157843606
Strawberries,1993,70.77623696407377
Raspberries,1993,101.66629224266572
Apples,1994,41.900931375660875
Pears,1994,24.5630911762746
Plums,1994,25.869544542964867
Strawberries,1994,58.85737906482459
Raspberries,1994,100.47351671878752
Apples,1995,39.63821709019429
Pears,1995,22.877773541013173
Plums,1995,32.34785802381061
Strawberries,1995,61.29551784398607
Raspberries,1995,102.76336375307886
Apples,1996,35.689894234408065
Pears,1996,28.13897858602683
Plums,1996,42.6580515348916
Strawberries,1996,59.793427879123406
Raspberries,1996,100.23286135530944
Apples,1997,30.43114965751722
Pears,1997,25.501723188157694
Plums,1997,25.788699357624
Strawberries,1997,49.35405268247944
Raspberries,1997,103.49239966350956
Apples,1998,29.262253279830446
Pears,1998,16.940966915444537
Plums,1998,14.084435953854435
Strawberries,1998,48.71722416526301
Raspberries,1998,94.23339849886906
Apples,1999,35.47072570613865
Pears,1999,16.443618757472688
Plums,1999,14.436177636225441
Strawberries,1999,64.3607154942062
Raspberries,1999,89.03077553663697
Apples,2000,31.355688682368843
Pears,2000,17.886548607180085
Plums,2000,6.218155132344813
Strawberries,2000,56.11076943312842
Raspberries,2000,83.39480659487319
Apples,2001,31.771473845197303
Pears,2001,25.9502663699401
Plums,2001,8.38988551820885
Strawberries,2001,56.3693215872714
Raspberries,2001,70.26741032421246
Apples,2002,29.16358694964089
Pears,2002,24.193971923595647
Plums,2002,7.927587643614428
Strawberries,2002,53.1520664841111
Raspberries,2002,60.59210844474239
Apples,2003,23.785271162960196
Pears,2003,20.634705988709946
Plums,2003,22.206738155546972
Strawberries,2003,56.92185961081581
Raspberries,2003,64.2205782440933
Apples,2004,25.1446760760452
Pears,2004,14.221175901716473
Plums,2004,21.3892868734479
Strawberries,2004,56.8775527157667
Raspberries,2004,66.55729590383208
Apples,2005,30.043366855756503
Pears,2005,13.546928908425846
Plums,2005,16.072875561786397
Strawberries,2005,59.349413546843444
Raspberries,2005,68.11438508326356
Apples,2006,31.823863551762383
Pears,2006,18.76831102959403
Plums,2006,16.7745546738498
Strawberries,2006,58.64869673911528
Raspberries,2006,62.377793505512024
Apples,2007,32.9683242668401
Pears,2007,14.187136864431107
Plums,2007,14.998747159566198
Strawberries,2007,55.5940977384162
Raspberries,2007,63.48614658870382
Apples,2008,34.35961572552094
Pears,2008,12.624975457931335
Plums,2008,3.353380760108867
Strawberries,2008,67.9263464541181
Raspberries,2008,63.21943929000805
Apples,2009,34.31354168326231
Pears,2009,15.049906865011383
Plums,2009,16.408128524284134
Strawberries,2009,71.65844524005176
Raspberries,2009,62.674206038399625
Apples,2010,34.792083840557225
Pears,2010,19.669880698967496
Plums,2010,19.904018590575024
Strawberries,2010,71.77123178859432
Raspberries,2010,68.42082801728039
Apples,2011,35.63698455301812
Pears,2011,18.72555117349473
Plums,2011,17.1269537303567
Strawberries,2011,68.51989735405034
Raspberries,2011,63.533378376262995
Apples,2012,30.672986125546764
Pears,2012,15.636320507899976
Plums,2012,8.483527059153031
Strawberries,2012,65.76838888805372
Raspberries,2012,62.28998697097374
Apples,2013,32.05330692989833
Pears,2013,12.900229639478376
Plums,2013,17.513676632659852
Strawberries,2013,67.33417164476721
Raspberries,2013,58.79792201873324
Apples,2014,36.4799946177441
Pears,2014,13.519470897906672
Plums,2014,16.41110654824917
Strawberries,2014,68.39498638221148
Raspberries,2014,62.05087887216418
Apples,2015,38.901899873296664
Pears,2015,15.170357136150455
Plums,2015,19.29707647649393
Strawberries,2015,68.63368201073179
Raspberries,2015,59.504958939930155
Apples,2016,41.57267734644514
Pears,2016,14.273893199214612
Plums,2016,14.455565502348918
Strawberries,2016,67.95427943964106
Raspberries,2016,57.50271554393809
Apples,2017,32.59649343771778
Pears,2017,17.447968016066728
Plums,2017,14.127205276610056
Strawberries,2017,71.7645479191037
Raspberries,2017,53.722386362246176
Apples,2018,37.13877514122821
Pears,2018,18.323313076762346
Plums,2018,18.350530825044096
Strawberries,2018,74.78787701565143
Raspberries,2018,48.446565186912395
Apples,2019,39.463931933680115
Pears,2019,19.433857534015235
Plums,2019,16.638685338442393
Strawberries,2019,71.46567816136978
Raspberries,2019,38.097913951539326
Apples,2020,38.76474076209121
Pears,2020,19.36047454968436
Plums,2020,19.076685443532217
Strawberries,2020,69.38561552845927
Raspberries,2020,37.02816566274107
